hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T05,30,41,178.0571987370693,5.1032311978576095
T05,30,27,11.92574574241687,4.21508391785843
T05,30,12,8.965713742237469,2.0500942140946563
T05,30,26,5.812049498603502,2.638347011073054
T05,30,11,11.2504165917807,4.918508239671847
T05,30,44,-177.40863745841068,2.569485277078146
T05,47,47,4.830505145613546,1.5436507305335256
T05,35,35,4.734157453699037,0.3323390813223907
T05,41,41,4.013325254914331,1.0405774332779798
T05,30,39,-177.2552962346566,2.3365036700851487
T05,30,30,4.7084920270041595,1.314410805922532
T05,30,21,7.2680882410638095,2.339193853561429
T05,20,20,6.212212852260404,2.191428619609978
T05,38,38,5.051531127030402,0.31320789961457984
T05,30,10,6.873284166905422,2.057060986988708
T05,44,44,4.730184199225824,2.2856543016580324
T05,23,23,5.138898221571896,0.6660055759577126
T05,11,11,1.757398136676077,3.0948636586570535
T05,24,24,4.80802786557235,1.5677759853943796
T05,30,19,9.069470623739583,4.118285174169597
T05,13,13,4.775220220652648,0.40435353000038593
T05,32,32,5.0383481309682185,0.8893360770653911
T05,30,36,-179.89237710041823,0.8366715062661072
T05,30,18,6.126730121526727,3.5550519932317735
T05,30,23,7.717865140661923,2.438986084880755
T05,10,10,4.898442850935546,0.42612581018791096
T05,30,40,-175.08988858622794,3.4564590296727404
T05,30,32,6.94062533159288,2.310376551133285
T05,42,42,5.090032315950463,1.395311810753639
T05,30,24,8.045174845048045,2.679710569357721
T05,30,34,-176.5702543160733,2.5120710762216167
T05,30,37,-176.42434605177385,2.275541025846402
T05,30,38,-178.0190247433538,2.244328650033182
T05,30,48,-178.26920610504445,2.171202350501383
T05,36,36,6.049649214354619,3.73222215998981
T05,30,31,4.300262015264377,2.026508772912841
T05,31,31,4.869686331918038,0.5270872667219001
T05,30,45,179.30985093477221,4.161849375623658
T05,21,21,5.706839235890363,2.4388663919337126
T05,37,37,4.991546185500789,0.3414703839853748
T05,30,22,6.0935620005472755,2.023962726578326
T05,33,33,4.432792314747056,1.0289125411084867
T05,30,42,-178.84594761354663,3.7169504118259393
T05,30,9,6.891395588842549,2.187685650010194
T05,30,16,7.542312122615977,1.996217156983038
T05,30,25,5.551362048844366,2.126486274360787
T05,30,33,4.88683601224461,1.4538184882426435
T05,8,8,6.715857891233043,3.8483971074456433
T05,7,7,4.913305971923456,0.3437874577887851
T05,25,25,4.791802579538138,0.5244615979594651
T05,46,46,5.055875051202799,1.4527196929321178
T05,17,17,5.09299317136044,0.6916398315189951
T05,9,9,4.880855483688627,0.43069997145574157
T05,30,29,8.366592017936597,2.9708047367911967
T05,30,13,7.71183735469555,1.7719020222352146
T05,39,39,4.949065180198895,1.0901128443337929
T05,48,48,5.325669065435738,1.501573608832781
T05,12,12,4.886928168118413,0.3885718771990229
T05,30,20,5.800312472784958,2.0119297741149067
T05,30,46,179.53045968530358,3.9696596544988703
T05,30,28,6.509182483107172,3.7202426647872415
T05,30,43,-179.3998603165839,3.0682990115574023
T05,27,27,4.98995991650562,3.185006739090861
T05,19,19,5.181843650563676,0.7762619272029567
T05,40,40,7.272153313680318,3.1485275183136925
T05,16,16,5.9671009460914535,1.9047987165773408
T05,22,22,5.165222783680452,0.662399946144839
T05,30,7,10.23656443598517,2.284877723091593
T05,43,43,5.243712234099996,1.883743148056607
T05,14,14,3.743995710267799,2.0508789970212176
T05,45,45,4.127913636426793,2.5511237260306125
T05,30,17,10.748622210607238,3.6351838285153324
T05,26,26,4.840824985461287,0.5615769135616094
T05,30,8,9.966222356113693,4.90236876855853
T05,30,15,4.423418781328202,3.6424230201724916
T05,30,47,-179.66613905938235,2.894801589645578
T05,30,35,-174.59073909063227,1.9786037313121763
T05,15,15,4.87501023761689,0.36234851167628884
T05,30,14,10.113426973957512,3.5434863851468266
T05,18,18,5.20602695791505,0.7312402029950321
T05,34,34,2.728880657354657,3.0262254657978804
T05,29,29,5.379234075784675,2.161093538592912
T05,28,28,5.063208594504984,0.8827218088281342
